shannon entropy value: 7/2
shannon entropy solution:
x0: 0
x1: 1
x2: 1
x3: 3/2
x4: 1
x5: 3/2
x6: 2
x7: 2
x8: 1
x9: 2
x10: 2
x11: 5/2
x12: 2
x13: 5/2
x14: 3
x15: 3
x16: 1
x17: 2
x18: 2
x19: 5/2
x20: 2
x21: 5/2
x22: 3
x23: 3
x24: 3/2
x25: 5/2
x26: 5/2
x27: 3
x28: 5/2
x29: 3
x30: 7/2
x31: 7/2
x32: 1
x33: 2
x34: 3/2
x35: 2
x36: 2
x37: 5/2
x38: 5/2
x39: 5/2
x40: 3/2
x41: 5/2
x42: 2
x43: 5/2
x44: 5/2
x45: 3
x46: 3
x47: 3
x48: 2
x49: 3
x50: 5/2
x51: 3
x52: 3
x53: 7/2
x54: 7/2
x55: 7/2
x56: 2
x57: 3
x58: 5/2
x59: 3
x60: 3
x61: 7/2
x62: 7/2
x63: 7/2
x64: 1
x65: 2
x66: 2
x67: 5/2
x68: 3/2
x69: 2
x70: 5/2
x71: 5/2
x72: 2
x73: 3
x74: 3
x75: 7/2
x76: 5/2
x77: 3
x78: 7/2
x79: 7/2
x80: 3/2
x81: 5/2
x82: 5/2
x83: 3
x84: 2
x85: 5/2
x86: 3
x87: 3
x88: 2
x89: 3
x90: 3
x91: 7/2
x92: 5/2
x93: 3
x94: 7/2
x95: 7/2
x96: 2
x97: 3
x98: 5/2
x99: 3
x100: 5/2
x101: 3
x102: 3
x103: 3
x104: 5/2
x105: 7/2
x106: 3
x107: 7/2
x108: 3
x109: 7/2
x110: 7/2
x111: 7/2
x112: 5/2
x113: 7/2
x114: 3
x115: 7/2
x116: 3
x117: 7/2
x118: 7/2
x119: 7/2
x120: 5/2
x121: 7/2
x122: 3
x123: 7/2
x124: 3
x125: 7/2
x126: 7/2
x127: 7/2
